time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
0,558.1688,596.9468,596.5775,596.5775,596.5775,596.5775,558.1667,558.1667,558.1667,558.1667,373.15,507.0723,1006.1,1006.1,252.0,252.0,251.0,251.0,89,0.0,15533600,15517400,15499000,15499000,15499000,15499000,15518000,15518000,15518000,15518000,3190000,3004400,3000000,3000000,3000000,3000000,9240092,63360200,7443228,72600290,29772910,15488600,0.0
1,558.1578,581.8478,596.8318,596.8318,596.8335,596.8318,572.7241,572.7241,572.7084,572.7073,373.2452,508.0049,963.4478,1040.09,250.5612,250.5612,250.5517,250.5542,89,53.77227,15506630,15439580,15392650,15392650,15392650,15392650,15503790,15503790,15503790,15503790,4572604,3055257,3055625,3055625,3055610,3055610,9757956,66911240,39824870,76669200,159299500,15339110,2203.404
2,558.0359,572.9735,596.7484,596.7484,596.7488,596.7484,567.1207,567.1207,567.1211,567.1204,373.2493,508.9514,989.9095,1012.247,253.623,253.623,253.6224,253.623,89,73.13731,15309460,15242900,15196060,15196060,15196060,15196060,15306570,15306570,15306570,15306570,4630969,3107542,3108606,3108606,3108606,3108606,9254695,63460150,52490740,72714850,209963000,15167910,564462.6
3,557.9507,571.5378,596.3882,596.3882,596.3883,596.3882,561.9125,561.9125,561.9115,561.9107,373.2509,509.4628,1008.022,1007.436,255.7378,255.7378,255.7377,255.7378,89,84.13774,15164290,15097980,15050620,15050620,15050620,15050620,15161120,15161120,15161120,15161120,4654502,3136080,3137264,3137264,3137264,3137264,9246213,63401920,54798490,72648140,219194000,15012960,6764087.0
4,558.2867,571.3002,594.5532,594.5532,594.5532,594.5532,559.1823,559.1823,559.1824,559.1824,373.2505,509.4489,1019.182,1015.295,258.0489,258.0489,258.049,258.049,89,84.77142,15033310,14966820,14918460,14918460,14918460,14918460,15030110,15030110,15030110,15030110,4648910,3135298,3136550,3136550,3136550,3136550,9206947,63132790,54391100,72339740,217564400,14887160,8980289.0
5,559.1711,571.4402,590.424,590.424,590.424,590.424,556.7765,556.7765,556.7763,556.7762,373.2502,509.4304,1030.334,1028.513,262.4611,262.4611,262.4611,262.4612,89,85.04071,14941350,14874160,14824500,14824500,14824500,14824500,14938230,14938230,14938230,14938230,4644562,3134262,3135461,3135461,3135461,3135461,9143728,62699350,53395720,71843080,213582900,14788490,9653033.0
6,560.2112,572.006,584.9941,584.9941,584.9941,584.9941,553.3688,553.3688,553.3687,553.3686,373.2491,509.2213,1041.077,1044.845,267.0544,267.0544,267.0544,267.0544,89,81.47427,14875030,14806970,14756100,14756100,14756100,14756100,14872060,14872060,14872060,14872060,4628894,3122577,3123658,3123658,3123658,3123658,9116991,62516090,50907900,71633080,203631600,14715600,9895613.0
7,560.8842,572.8269,580.1923,580.1923,580.1923,580.1923,549.7719,549.7719,549.7719,549.7719,373.2479,508.9686,1048.683,1061.142,270.662,270.662,270.662,270.662,89,76.95877,14819590,14750820,14699100,14699100,14699100,14699100,14816750,14816750,14816750,14816750,4611630,3108499,3109470,3109470,3109470,3109470,9152241,62757830,48746340,71910070,194985400,14657820,9789263.0
8,560.9009,573.5079,576.694,576.694,576.694,576.694,546.4045,546.4045,546.4045,546.4045,373.2479,508.9636,1052.379,1075.178,273.5161,273.5161,273.5161,273.5161,89,77.87409,14774980,14705750,14653550,14653550,14653550,14653550,14772180,14772180,14772180,14772180,4610449,3108221,3109195,3109195,3109195,3109195,9231480,63301120,48627120,72532610,194508500,14608510,9908925.0
9,560.1526,573.6881,574.7405,574.7405,574.7405,574.7405,543.5262,543.5262,543.5262,543.5262,373.2471,508.7709,1053.853,1085.826,274.5557,274.5557,274.5557,274.5557,89,74.59235,14726150,14656610,14604200,14604200,14604200,14604200,14723360,14723360,14723360,14723360,4599786,3097517,3098423,3098423,3098423,3098423,9332419,63993310,46801800,73325730,187207200,14561600,9993550.0
